Product,SkinType,Concern,AgeGroup,Category,Ingredient,Usage,Frequency

Foaming Cleanser,oily,acne,Teen,Cleanser,Salicylic Acid,Morning/Night,Daily
Niacinamide Serum,oily,acne,18-25,Serum,Niacinamide,Night,Daily
Oil-Free Moisturizer,oily,acne,Teen,Moisturizer,Ceramides,Morning/Night,Daily
Gel Sunscreen,oily,acne,All,Sunscreen,Zinc Oxide,Morning,Daily
Clay Mask,oily,acne,18-25,Mask,Kaolin Clay,Weekly,2 times/week

Tea Tree Face Wash,oily,pimples,Teen,Cleanser,Tea Tree,Morning/Night,Daily
Acne Spot Gel,oily,pimples,Teen,Treatment,Benzoyl Peroxide,Night,Only on active pimples
Oil Control Gel,oily,pimples,18-25,Moisturizer,Green Tea,Morning/Night,Daily
SPF Matte Sunscreen,oily,pimples,All,Sunscreen,SPF 50,Morning,Daily
Purifying Toner,oily,pimples,18-25,Toner,Tea Tree,Morning,Daily

BHA Exfoliant,oily,blackheads,18-25,Exfoliant,Salicylic Acid,Night,2-3 times/week
Pore Tightening Toner,oily,blackheads,18-25,Toner,Niacinamide,Morning,Daily
Sebum Control Moisturizer,oily,blackheads,18-25,Moisturizer,Green Tea,Morning/Night,Daily
Oil-Free SPF,oily,blackheads,All,Sunscreen,Zinc Oxide,Morning,Daily
Charcoal Mask,oily,blackheads,18-25,Mask,Charcoal,Weekly,1-2 times/week

Brightening Cleanser,oily,tan,18-25,Cleanser,Vitamin C,Morning/Night,Daily
Vitamin C Serum,oily,tan,18-25,Serum,Vitamin C,Morning,Daily
Light Gel Moisturizer,oily,tan,18-25,Moisturizer,Hyaluronic Acid,Morning/Night,Daily
Brightening Sunscreen,oily,tan,All,Sunscreen,SPF 50,Morning,Daily
Rice Enzyme Scrub,oily,tan,18-25,Exfoliant,Rice Enzyme,Night,1-2 times/week

Hydrating Cleanser,dry,dullness,18-25,Cleanser,Glycerin,Morning/Night,Daily
Hyaluronic Acid Serum,dry,dullness,18-25,Serum,Hyaluronic Acid,Morning/Night,Daily
Ceramide Cream,dry,dullness,18-25,Moisturizer,Ceramides,Night,Daily
Cream Sunscreen,dry,dullness,All,Sunscreen,SPF 50,Morning,Daily
Overnight Sleeping Mask,dry,dullness,26-35,Mask,Squalane,Night,1-2 times/week

Milk Cleanser,dry,sensitivity,Teen,Cleanser,Milk Protein,Morning/Night,Daily
Hydration Serum,dry,sensitivity,18-25,Serum,Hyaluronic Acid,Morning,Daily
Rich Moisturizer,dry,sensitivity,18-25,Moisturizer,Squalane,Night,Daily
Gentle SPF,dry,sensitivity,All,Sunscreen,Zinc Oxide,Morning,Daily
Oat Barrier Cream,dry,sensitivity,26-35,Barrier Cream,Oats,Night,Daily

